title,creators,abstractNote,conferenceName,date,language,url,libraryCatalog,tags
A deep learning based approach for detecting panels in photovoltaic plants,GrecoAntonio,Photovoltaic (PV) panels are a clean and widespread way to produce renewable energy from sunlight; at the same time， such plants require maintenance， since solar panels can be affected by many types of damaging factors and have a limited yet variable lifespan. With the impressive growth of such PV installations， it is in the public eye the need of a cheap and effective way to continuously monitor the state of the plants and a standard technique designed to promptly replace broken modules， in order to prevent drops in the energy production. Since the faults mainly appear as Hot Spots on the surface of the PV panels， aerial thermal imaging can be used to diagnose such problems and also locate them in huge plants. To this aim， dedicated automatic Computer Vision methods are able to automatically find hot spots from thermal images， where they appear as white stains. In these methods a fundamental step is the segmentation of the PV panels， which allows to automatically detect each module.,APPIS 2020: 3rd International Conference on Applications of Intelligent Systems,2020-01-07,en,https://dl.acm.org/doi/10.1145/3378184.3378185,DOI.org (Crossref),[]
Real-time model base fault diagnosis of PV panels using statistical signal processing,DavarifarM.,This paper proposes new method of monitoring and fault detection in photovoltaic systems， based mainly on the analysis of the power losses of the photovoltaic system (PV) by using statistical signal processing. Firstly， real time new universal circuit based model of photovoltaic panels is presented. Then， the development of software fault detection on a real installation is performed under the MATLAB/Simulink environment. With model based fault diagnosis analysis， residual signal from comparing Simulink and real model is generated. To observe clear alarm signal from arbitrary data captured， Wald test technic is applied on residual signal. A model residual based on Sequential Probability Ratio Test (WSPRT) framework for electrical fault diagnosis in PV system is introduced.,2013 International Conference on Renewable Energy Research and Applications (ICRERA),2013-10,,https://ieeexplore.ieee.org/document/6749826,IEEE Xplore,"['Fault diagnosis', 'Integrated circuit modeling', 'Mathematical model', 'Monitoring', 'PV system', 'Photovoltaic systems', 'Real-time systems', 'Renewable energy sources', 'faults diagnosis', 'real time modeling']"
Fault Detection and Diagnosis of Photovoltaic Systems through I-V Curve Analysis,ZbibBatoul,This work presents an algorithm to detect and diagnose faults in PhotoVoltaic (PV) systems based on the I-V curve analysis. Three types of faults are investigated: mismatch and shading faults， connectivity faults and short circuit faults. The PV system is modeled using MATLAB/Simulink to simulate the faulty I-V curve behavior for each fault. During each simulation， the I-V curve is examined and compared with that during normal operation (without faults)， in order to identify and characterize the anomalies. The different faulty modes affect the I-V characteristics of the PV string in different ways， leaving distinct signatures during its operation. Four attributes are extracted allowing for classification of faults into five classes. For some classes involving more than one fault， further analysis and comparison is carried out to allow discrimination between them. Results show that the proposed technique has good performance in detecting faults even if they are not severe.,"2020 International Conference on Electrical, Communication, and Computer Engineering (ICECCE)",2020-06,,https://ieeexplore.ieee.org/abstract/document/9179390,IEEE Xplore,"['Circuit faults', 'Fault detection', 'Fault diagnosis', 'I-V curve analysis', 'Integrated circuit modeling', 'Mathematical model', 'PV string', 'Radiation effects', 'Temperature', 'fault detection and diagnosis', 'faults', 'photovoltaic systems', 'symptoms']"
Lightweight and Efficient Distributed Photovoltaic Panel Defect Detection Model,GuYi,In the detection of defects in distributed photovoltaic (PV) panel， it is crucial to balance the high precision required for defect detection with the practical challenges of deploying models on low-resource devices. To address this challenge， this paper proposes the YOLOv8-PV model based on YOLOv8. Firstly， a shared-parameter detection head is designed to accelerate training and better learn defect features. A lightweight and high-performance PCONV is incorporated into the detection head to enhance higher throughput and lower memory access. Additionally， a Context Guided block is introduced to reduce computational complexity. Finally， an improved MLCA attention mechanism is added to enhance detection accuracy. Experimental results on a distributed photovoltaic panel dataset demonstrate that the YOLOv8-PV model achieves a reduction in Params， GFLOPS， and model size by 50.0%， 60.4%， and 46.6%， respectively， compared to the baseline model. Additionally， the mAP50 is improved by 1.8%.,2024 4th International Conference on Computer Science and Blockchain (CCSB),2024-09,,https://ieeexplore.ieee.org/document/10735631/,IEEE Xplore,"['Computational modeling', 'Defect detection', 'Feature extraction', 'Head', 'Lightweight', 'Object detection', 'Optimization', 'Performance evaluation', 'Photovoltaic panel', 'Photovoltaic systems', 'Throughput', 'Training', 'YOLOv8', 'defect detection']"
"Run, Don't Walk: Chasing Higher FLOPS for Faster Neural Networks",ChenJierun,To design fast neural networks， many works have been focusing on reducing the number of floating-point operations (FLOPs). We observe that such reduction in FLOPs， however， does not necessarily lead to a similar level of reduction in latency. This mainly stems from inefficiently low floating-point operations per second (FLOPS). To achieve faster networks， we revisit popular operators and demonstrate that such low FLOPS is mainly due to frequent memory access of the operators， especially the depthwise convolution. We hence propose a novel partial convolution (PConv) that extracts spatial features more efficiently， by cutting down redundant computation and memory access simultaneously. Building upon our PConv， we further propose FasterNet， a new family of neural networks， which attains substantially higher running speed than others on a wide range of devices， without compromising on accuracy for various vision tasks. For example， on ImageNet1k， our tiny FasterNet-T0 is 2.8×， 3.3×， and 2.4× faster than MobileViT-XXS on GPU， CPU， and ARM processors， respectively， while being 2.9% more accurate. Our large FasterNet-L achieves impressive 83.5% top-1 accuracy， on par with the emerging Swin-B， while having 36% higher inference throughput on GPU， as well as saving 37% compute time on CPU. Code is available at https://github. com/JierunChen/FasterNet.,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),6/2023,en,https://ieeexplore.ieee.org/document/10203371/,DOI.org (Crossref),[]
PV-DETR: A Multimodal Fault Detection Model of PV Arrays based on Parallel Block Attention,ChenWanghu,Detection of faults in photovoltaic arrays can reduce power generation losses and extend the equipment’s lifespan. Traditional operation and maintenance of photovoltaic power stations primarily rely on electrical characteristics or infrared images. However， data from a single modality are susceptible to environmental interference， affecting detection accuracy. To address these issues， we propose a model called PV-DETR for fault detection in photovoltaic arrays under complex environmental conditions. This model is an extension of RT-DETRv2， which leverages the Transformer architecture for feature extraction and decoding. The model employs a PResNet50 module instead of the original ResNet50， along with haar wavelet downsampling and a parallel block attention mechanism. The PResNet50 module can reduce dimensionality while minimizing information loss. Haar wavelet downsampling retains the original global information and compresses feature maps effectively， and the parallel block attention mechanism significantly enhances the detection of small infrared targets. Experimental results show that the final PV-DETR model achieves an average accuracy of 89% and an average recall of 85% in fault detection using multimodal data， outperforming existing models， including the original RT-DETRv2.,2024 IEEE International Conference on Big Data (BigData),2024-12,,https://ieeexplore.ieee.org/document/10826130/?arnumber=10826130,IEEE Xplore,"['Arrays', 'Computational modeling', 'Data models', 'Fault detection', 'Image coding', 'Maintenance', 'Photovoltaic systems', 'RT-DETRv2', 'Real-time systems', 'Transformers', 'Wavelet transforms', 'fault detection', 'infrared images', 'multimodal', 'photovoltaic array']"
AI-Based PV Panels Inspection using an Advanced YOLO Algorithm,HaerumanAgus,The rapid growth of solar photovoltaic (PV) systems as green energy sources has gained momentum in recent years. However， the anomalies of PV panel defects can reduce its efficiency and minimize energy harvesting from the plant. The manual inspection of PV panel defects throughout the plant is costly and time-consuming. Thus， implementing more intelligent ways to inspect solar panel defects will provide more benefits than traditional ones. This study presents an implementation of a deep learning model to detect solar panel defects using an advanced object detection algorithm called You Look Only Once， version 7 (YOLOv7). YOLO is a popular algorithm in computer vision for classification and localization. The dataset utilized in this study was sourced from ROBOFLOW， consisting of 1660 infrared images showcasing thermal defects in PV panels. The model was constructed to identify a broader range of images with heterogeneity， leveraging the aforementioned dataset. Following validation， the model demonstrates a mean Average Precision (mAP) of 85.9%. With this accuracy， the model is relevant for real-world applications. This assertion is affirmed by testing the model with additional data from separate video-capturing PV panels. The video was recorded using a drone equipped with a thermal camera.,Renewable Energy: Generation and Application,2024-08-15,en,https://www.mrforum.com/product/9781644903216-30,DOI.org (Crossref),[]
Towards Efficient Solar Panel Inspection: A YOLO-based Method for Hotspot Detection,AmeerdinMuhammad Irshat,Solar energy that captured by the photovoltaic (PV) cells has gained recognition as an important factor in the global search for sustainable and clean energy sources in recent years. One of the Sustainable Development Goals (SDG) that solar technology directly supports is Affordable and Clean Energy. It can help increase access to clean energy sources by improving the efficiency and dependability of solar panels through minimizing its defects. However， a variety of defects can shorten the lifespan and effectiveness of PV array， which are crucial components of solar energy systems. The study concentrates on detecting hotspots on solar panels， identifiable through thermal imaging technology. This project aims to develop a deep learning-based approach for defect detection of solar panels. The project unfolds with a primary goal， that is designing the integration of a thermal sensor and deep learning to detect and identify defects in PV panels. It follows with crafting a robust algorithm within the deep learning environment for effective defect detection and identification. Next， the algorithm's performance will be evaluated， emphasizing its reliability and accuracy in enhancing defect detection. The process begins with physically examining a solar panel， followed by using a drone-mounted thermal camera to capture thermal images. After obtaining enough data， the images undergo model generation by labelling and annotation process using Roboflow. The model is then tested and trained for defect detection using YOLOv8. Once the desired accuracy is reached， the dataset is formatted. A user-friendly graphical interface is developed for ease of interaction. Then， the system's performance is evaluated using a confusion matrix to gauge the effectiveness of the defect detection approach. The panel's defect will be confirmed with the manual inspection. Based on the early result obtained， the model's confidence level that has been acquired is 76%.,2024 IEEE 14th Symposium on Computer Applications & Industrial Electronics (ISCAIE),2024-05,,https://ieeexplore.ieee.org/abstract/document/10576312,IEEE Xplore,"['Accuracy', 'Deep Learning', 'Deep learning', 'Hotspots', 'Refining', 'Roboflow', 'Solar Panel', 'Solar energy', 'System performance', 'Thermal sensors', 'Training', 'YOLO']"
Infrared Thermography Based Hotspot Detection Of Photovoltaic Module using YOLO,TajwarTahmid,Regarding clean energy production high curiosity is gained by Solar Photovoltaic (PV) worldwide. Faults in the PV modules cause significant issues for the PV systems. Detecting faults of PV modules could help to take the necessary measures. This study uses Infrared thermography (IRT) to detect the hotspot of PV modules. The objective is to develop a hotspot detection tool using ‘YOLO: You Only Look once.’ The images are converted into a data set for a classifier to detect the hotspot of PV modules. Then the learner is trained and tested with the dataset. After that， the output validates with the IRT images of PV modules. The outcome of this study is to apply a real-time object detection tool identifying the defect of the PV module. The result shows that with a more diversified data set， the confidence of detecting the hotspot increases.,2021 IEEE 12th Energy Conversion Congress & Exposition - Asia (ECCE-Asia),2021-05,,https://ieeexplore.ieee.org/document/9478998/?arnumber=9478998,IEEE Xplore,"['Asia', 'Condition monitoring', 'Detectors', 'Infrared thermography', 'Object detection', 'Photovoltaic systems', 'Production', 'Tools', 'YOLO', 'hotspot', 'machine learning', 'photovoltaic']"
Fault Detection of the Solar Photovoltaic Modules Using YOLO Models,MalikParveen,The growing adoption of solar panels， driven by climate change concerns， underscores the importance of ensuring the reliability of photovoltaic (PV) modules. However， outdoor PV modules deployment face a range of environmental challenges such as extreme temperatures， chemical exposure， and mechanical stress which can lead to aging， defects， and degradation. This research introduces a novel approach for identifying faults in solar photovoltaic (PV) modules. Leveraging deep learning techniques from the You Only Look Once (YOLO) family， specifically the recent YOLOv8 and YOLOv9 models， this paper aims to enhance the reliability and performance of PV systems by accurately detecting and classifying module defects to a thermal images database containing three photo-voltaic cell defects. By automating the fault detection process through computer vision， this work contributes to the ongoing efforts to optimize solar energy generation and maintenance. Further， YOLOv5， YOLOv6， and YOLOv7 are also trained， validated， and tested. The results showed that the novel technique of the GELAN architecture-based model outperformed all other models trained on the custom dataset of thermal images of solar PV modules， achieving a mean average precision (mAP) of 70.4%.,2024 IEEE Region 10 Symposium (TENSYMP),2024-09,,https://ieeexplore.ieee.org/document/10752194,IEEE Xplore,"['Computational modeling', 'Fault detection', 'Image databases', 'Maintenance', 'Microprocessors', 'Photo Voltaic', 'Solar energy', 'Solar panels', 'Stress', 'Temperature distribution', 'YOLO', 'generalized efficient layer aggregation network', 'infrared thermography', 'mAP', 'object detection', 'solar cell']"
