title,creators,abstractNote,publicationTitle,date,language,url,libraryCatalog,tags
A novel framework on intelligent detection for module defects of PV plant combining the visible and infrared images一种结合可见光和红外图像的光伏电站组件缺陷智能检测新框架,HongFeng,Solar Photovoltaic (PV) industry has achieved rapid development in recent years. However， it is difficult and costly to detect the micro fault area in a large PV power plant due to environmental factors and missing data. Most faults can be detected by the infrared temperature measurement method， but the infrared camera characteristics constrain it. This paper proposed a novel framework， consisting of image acquirement， image segmentation， fault orientation and defect warning， to remedy the limitations for PV module defects. The visible and infrared PV array images are taken under the same conditions by a dual infrared camera at low altitudes. The deep learning methods， including the fifth version of You Only Look Once (YOLOv5) algorithm and Deep Residual Network (ResNet) algorithm， are introduced to this framework. Hence， this framework has strong capability to suit almost all brightness conditions， by the combination of image segmentation from visible images and fault location on infrared images. The results show that this framework dramatically improves the separation speed of photovoltaic array to 36 Fps and the accuracy of fault detection to 95% by infrared image marked with the segmented area.,Solar Energy,2022-04-01,,https://www.sciencedirect.com/science/article/pii/S0038092X22001840,ScienceDirect,"['Image fusion', 'Module defect', 'PV plant', 'ResNet', 'YOLOv5']"
Automatic detection of photovoltaic module defects in infrared images with isolated and develop-model transfer deep learning通过隔离和开发模型迁移深度学习自动检测红外图像中的光伏组件缺陷,AkramM. Waqar,With the rising use of photovoltaic and ongoing installation of large-scale photovoltaic systems worldwide， the automation of photovoltaic monitoring methods becomes important， as manual/visual inspection has limited applications. This research work deals with automatic detection of photovoltaic module defects in Infrared images with isolated deep learning and develop-model transfer deep learning techniques. An Infrared images dataset containing infrared images of normal operating and defective modules is collected and used to train the networks. The dataset is obtained from Infrared imaging performed on normal operating and defective photovoltaic modules with lab induced defects. An isolated learned model is trained from scratch using a light convolutional neural network design that achieved an average accuracy of 98.67%. For transfer learning， a base model is first developed (pre-trained) from electroluminescence images dataset of photovoltaic cells and then fine-tuned on infrared images dataset， that achieved an average accuracy of 99.23%. Both frameworks require low computation power and less time; and can be implemented with ordinary hardware. They also maintained real time prediction speed. The comparison shows that the develop-model transfer learning technique can help to improve the performance. In addition， we reviewed different kind of defects detectable from infrared imaging of photovoltaic modules， that can help in manual labelling for identifying different defect categories upon access to new huge data in future studies. Last of all， the presented frameworks are applied for experimental testing and qualitative evaluation.,Solar Energy,2020-03-01,,https://www.sciencedirect.com/science/article/pii/S0038092X20300621,ScienceDirect,"['Automatic defect detection', 'Develop-model transfer deep learning', 'Infrared images', 'Isolated deep learning', 'Photovoltaic (PV) modules', 'Thermography']"
DAF-DETR: A dynamic adaptation feature transformer for enhanced object detection in unmanned aerial vehicles,SongBaoye,Object detection in complex environments is challenged by overlapping objects， complex spatial relationships， and dynamic variations in target scales. To address these challenges， the Dynamic Adaptation Feature DEtection TRansformer (DAF-DETR) is proposed as a novel transformer-based model optimized for real-time detection in spatially complex environments. The framework introduces four key innovations. First， a learnable position encoding mechanism is employed in place of fixed positional encoding， enhancing adaptability and flexibility when processing complex spatial layouts. Second， the Resynthetic Network (ResynNet) backbone， which consists of stacked Resynthetic Blocks (ResynBlocks) integrating ResBlock and FasterBlock feature extraction strategies， is designed to optimize multi-scale feature representation and improve computational efficiency. Third， an enhanced feature fusion module is incorporated to strengthen the detection of small， densely packed objects by integrating multi-scale contextual information. Fourth， a dynamic perception module is introduced， utilizing deformable attention to capture complex spatial relationships between overlapping objects. Extensive experiments conducted on the Vision meets Drone 2019 (VisDrone2019) and Tiny Object Detection in Aerial Images (AI-TOD) datasets demonstrate the superiority of DAF-DETR， achieving state-of-the-art detection accuracy while maintaining real-time efficiency. The results confirm its robustness in handling scale variations， occlusions， and spatial complexity， establishing it as a reliable solution for real-world applications such as aerial imagery and crowded scene analysis.,Knowledge-Based Systems,07/2025,en,https://linkinghub.elsevier.com/retrieve/pii/S0950705125008068,DOI.org (Crossref),[]
Fast fault detection method for photovoltaic arrays with adaptive deep multiscale feature enhancement,GongBin,Photovoltaic (PV) arrays have output characteristics such as randomness and intermittency， and faults can seriously affect the safe operation of the power system. In order to improve the comprehensive performance of the PV array fault diagnosis model， a new intelligent online fault monitoring method for PV arrays is proposed in this paper. (1) a three-dimensional channel feature map based on I， V， and P features is constructed because the IV and P curves of the PV array have significantly different effects under different fault conditions. (2) The PV array fault diagnosis model based on a multi-source information fusion network (MIFNet) is proposed， and Channel Mixing Convolution (CMC) module， three-dimensional feature attention enhancement (TDFAE) module， and Channel normalized scaling (CNS) module are designed to improve the comprehensive performance of the model. (3) An adaptive nonlinear mutual sparrow search algorithm (ANMSSA) is proposed to optimize the hyperparameter configuration of the MIFNet network. The experimental results show that the average recognition accuracy， prediction accuracy， and sensitivity of the ANMSSA-MIFNet network proposed in this paper are 99.64%， 99.64%， and 99.71% respectively. When facing single-component faults and multi-component faults， the model has stronger diagnostic accuracy， robustness， anti-noise ability， and stability， and can efficiently diagnose different faults of PV arrays， providing the scientific basis and theoretical support for the operation of PV systems.,Applied Energy,01/2024,en,https://linkinghub.elsevier.com/retrieve/pii/S0306261923014356,DOI.org (Crossref),[]
Photovoltaic Cell Defect Detection by Lock-In Thermography Using 2-D Gaussian Profile,VieiraThiago Mota,The electrical energy produced by photovoltaic systems can be critically affected by a variety of factors. In order to detect defective photovoltaic cells， several monitoring techniques， such as lock-in thermography， have been widely used alongside some analytical methods that avoid subjectivity. This article proposes a method with low computational cost that provides a simple and easily implementable way to quantifiably discern if a photovoltaic cell is defective or not. A two-dimensional Gaussian fit is applied to images generated by fast Fourier transform and principal component analysis algorithms on thermographic data from lock-in thermography tests. The considered coefficient of determination R^2 was found to be a good measure of fitting quality. Additionally， the method highlighted the potential of its application on first principal component， with R^2 between 0.944 and 0.986， and magnitude images， with R^2 between 0.965 and 0.985， in order to identify and distinguish nondefective cells from defective ones.,IEEE Journal of Photovoltaics,2024-05,,https://ieeexplore.ieee.org/abstract/document/10438520,IEEE Xplore,"['Coefficient of determination', 'Fast Fourier transforms', 'Gaussian processes', 'Photovoltaic cells', 'Photovoltaic systems', 'Principal component analysis', 'Surface cracks', 'lock-in thermography (LIT)', 'photovoltaic (PV) cell', 'two-dimensional (2-D) Gaussian fit']"
"Faults Detection for Photovoltaic Field Based on K-Means, Elbow, and Average Silhouette Techniques through the Segmentation of a Thermal Image",Et-talebyAbdelilah,Clustering or grouping is among the most important image processing methods that aim to split an image into different groups. Examining the literature， many clustering algorithms have been carried ou...,International Journal of Photoenergy,2020/01/01,en,https://onlinelibrary.wiley.com/doi/10.1155/2020/6617597,onlinelibrary.wiley.com,[]
Thermal Infrared and Visual Inspection of Photovoltaic Installations by UAV Photogrammetry—Application Case: Morocco,ZefriYahya,Being sustainable， clean， and eco-friendly， photovoltaic technology is considered as one of the most hoped solutions face to worldwide energetic challenges. Morocco joins this context with the inauguration of numerous clean energy projects. However， one key factor in making photovoltaic installations a profitable investment are regular and effective inspections in order to detect occurred defects. Unmanned aerial vehicles (UAV) are increasingly used in various inspection fields. In this respect， this work focuses on the use of thermal and visual imagery taken by UAV in the inspection of photovoltaic installations. Visual and thermal images of photovoltaic modules， obtained by UAV， from different installations， and with different acquisition conditions and parameters， were exploited to generate orthomosaics for inspection purposes. The methodology was tested on a dataset we have acquired by a mission in Rabat (Morocco)， and also on external datasets acquired in Switzerland. As final results， several visual defects were detected in visual RGB and thermal orthomosaics， such as cracks， soiling， and hotspots. In addition， a procedure of semi-automatic hotspots’ extraction was also developed and is presented within this work. On the other side， various tests were conducted on the influence of some acquisition and processing parameters (images’ overlap， the ground sampling distance， the flying height， the use of ground control points， the internal camera parameters’ optimization) on the detection of defects and the quality of visual and thermal generated orthomosaics. In the end， the potential of UAV thermal and visual imagery in the inspection of photovoltaic installations was discussed in function of various parameters. On the basis of the discussion feedback， UAV were concluded as advantageous tools within the thematic of this project， which proves the necessity of their implementation in this context.,Drones,2018/12,en,https://www.mdpi.com/2504-446X/2/4/41,www.mdpi.com,"['UAV', 'automatic detection', 'defects', 'photovoltaic installation', 'thermal infrared inspection', 'visual inspection']"
Automatic supervision and fault detection of PV systems based on power losses analysis,ChouderA.,In this work， we present a new automatic supervision and fault detection procedure for PV systems， based on the power losses analysis. This automatic supervision system has been developed in Matlab&Simulink environment. It includes parameter extraction techniques to calculate main PV system parameters from monitoring data in real conditions of work， taking into account the environmental irradiance and module temperature evolution， allowing simulation of the PV system behaviour in real time. The automatic supervision method analyses the output power losses， presents in the DC side of the PV generator， capture losses. Two new power losses indicators are deﬁned: thermal capture losses (Lct) and miscellaneous capture losses (Lcm). The processing of these indicators allows the supervision system to generate a faulty signal as indicator of fault detection in the PV system operation.,Energy Conversion and Management,10/2010,en,https://linkinghub.elsevier.com/retrieve/pii/S0196890410000919,DOI.org (Crossref),[]
A comprehensive study on different types of faults and detection techniques for solar photovoltaic system,MadetiSiva Ramakrishna,Monitoring systems are essential to maintain optimal performance of photovoltaic (PV) systems. A critical aspect in such monitoring systems is the fault diagnosis technique being used. The role of a fault detection and diagnosis technique is to identify the causes affecting the real-time energy production and/or smooth functioning of PV systems. Over the past decade， various fault detection methods were reported in literature. Among all the fault detection techniques reported， some paid significant attention only on faults that occur in the PV system， some on faults on DC side of the PV system while the rest focused on AC side faults. For the first time， this paper provides a comprehensive review of popular fault detection techniques， addressing all major types of faults in PV systems. Detailed insights of PV fault detection techniques along with their relative performances are covered. A new fault detection technique is also proposed to identify the type and location (module level) of a fault. This review enables the reader to get acquaintance with major aspects/considerations in developing/choosing an effective yet viable fault detection technique for small and medium scale PV systems.,Solar Energy,2017-12-01,,https://www.sciencedirect.com/science/article/pii/S0038092X17307508,ScienceDirect,"['Different faults', 'Fault detection techniques', 'Photovoltaic systems']"
Identifying PV Module Mismatch Faults by a Thermography-Based Temperature Distribution Analysis,HuYihua,Photovoltaic (PV) solar power generation is proven to be effective and sustainable but is currently hampered by relatively high costs and low conversion efficiency. This paper addresses both issues by presenting a low-cost and efficient temperature distribution analysis for identifying PV module mismatch faults by thermography. Mismatch faults reduce the power output and cause potential damage to PV cells. This paper first defines three fault categories in terms of fault levels， which lead to different terminal characteristics of the PV modules. The investigation of three faults is also conducted analytically and experimentally， and maintenance suggestions are also provided for different fault types. The proposed methodology is developed to combine the electrical and thermal characteristics of PV cells subjected to different fault mechanisms through simulation and experimental tests. Furthermore， the fault diagnosis method can be incorporated into the maximum power point tracking schemes to shift the operating point of the PV string. The developed technology has improved over the existing ones in locating the faulty cell by a thermal camera， providing a remedial measure， and maximizing the power output under faulty conditions.,IEEE Transactions on Device and Materials Reliability,2014-12,,https://ieeexplore.ieee.org/abstract/document/6879295,IEEE Xplore,"['Arrays', 'Cameras', 'Circuit faults', 'Degradation', 'Fault diagnosis', 'Lighting', 'Temperature distribution', 'Temperature measurement', 'fault diagnosis', 'photovoltaic (PV) power systems', 'temperature', 'thermography']"
